Timestamp,Duration(s)
1498927803,1395
1498928403,1396
1498929002,1574
1498929602,1440
1498930203,1357
1498930803,1339
1498931402,1297
1498932003,1273
1498932602,1333
1498933202,1413
1498933802,1264
1498934403,1407
1498935002,1234
1498935602,1235
1498936203,1365
1498936802,1445
1498937402,1516
1498938002,1370
1498938603,1458
1498939204,1419
1498939802,1527
1498940402,1549
1498941002,1548
1498941603,1518
1498942203,1488
1498942804,1463
1498943402,1298
1498944002,1211
1498944602,1242
1498945203,1285
1498945803,1351
1498946404,1315
1498947002,1361
1498947603,1393
1498948204,1465
1498948803,1257
1498949402,1332
1498950004,1312
1498950602,1385
1498951202,1361
1498951803,1424
1498952402,1425
1498953002,1489
1498953604,1406
1498954202,1382
1498954802,1298
1498955403,1211
1498956002,1127
1498956602,1054
1498957202,1076
1498957802,1017
1498958402,1063
1498959002,1078
1498959602,1224
1498960202,1232
1498960803,1244
1498961401,1339
1498962002,1247
1498962603,1272
1498963202,1210
1498963803,1190
1498964403,1167
1498965002,1166
1498965602,1172
1498966202,1140
1498966802,1177
1498967403,1034
1498968003,945
1498968602,883
1498969202,792
1498969803,771
1498970402,850
1498971003,782
1498971602,803
1498972202,774
1498972802,782
1498973403,763
1498974002,699
1498974602,687
1498975203,717
1498975802,761
1498976402,767
1498977003,753
1498977602,754
1498978202,708
1498978804,701
1498979402,692
1498980002,713
1498980603,735
1498981202,725
1498981803,719
1498982403,727
1498983003,733
1498983602,749
1498984202,725
1498984803,712
1498985402,682
1498986004,659
1498986602,715
1498987203,697
1498987802,671
1498988402,662
1498989001,657
1498989602,697
1498990202,667
1498990803,669
1498991403,706
1498992003,705
1498992603,702
1498993204,658
1498993802,679
1498994402,674
1498995003,724
1498995603,711
1498996202,738
1498996802,772
1498997403,785
1498998002,767
1498998603,739
1498999203,712
1498999802,786
1499000404,710
1499001002,782
1499001603,855
1499002204,812
1499002801,865
1499003402,797
1499004003,823
1499004603,958
1499005202,1127
1499005804,1172
1499006402,1199
1499007003,1165
1499007603,1228
1499008202,1184
1499008803,1194
1499009403,1167
1499010002,1140
1499010602,1147
1499011203,1194
1499011803,1285
1499012403,1164
1499013002,1084
1499013602,1159
1499014203,1310
1499014803,1331
1499015402,1281
1499016003,1241
1499016603,1343
1499017202,1438
1499017802,1311
1499018404,1409
1499019002,1368
1499019602,1359
1499020203,1289
1499020802,1284
1499021403,1276
1499022002,1135
1499022602,1283
1499023203,1208
1499023804,1246
1499024402,1337
1499025003,1266
1499025604,1168
1499026203,1130
1499026803,1228
1499027403,1144
1499028003,1077
1499028602,1139
1499029203,1268
1499029802,1237
1499030402,1203
1499031003,1269
1499031602,1166
1499032201,1211
1499032802,1246
1499033402,1224
1499034002,1114
1499034603,1177
1499035202,1122
1499035802,1096
1499036403,1040
1499037002,889
1499037603,1005
1499038204,1012
1499038803,1073
1499039403,1168
1499040003,1105
1499040601,1036
1499041202,1041
1499041803,1024
1499042403,943
1499043003,957
1499043603,1106
1499044202,1065
1499044803,1113
1499045403,1091
1499046002,1008
1499046602,935
1499047202,865
1499047802,791
1499048402,906
1499049003,1054
1499049602,816
1499050202,831
1499050803,936
1499051402,1102
1499052002,1110
1499052602,1108
1499053202,878
1499053803,822
1499054404,831
1499055002,823
1499055602,759
1499056203,729
1499056802,765
1499057402,686
1499058003,688
1499058602,719
1499059201,723
1499059801,672
1499060403,741
1499061003,725
1499061603,731
1499062202,727
1499062802,771
1499063402,685
1499064002,722
1499064601,701
1499065203,696
1499065802,681
1499066402,693
1499067003,714
1499067602,701
1499068202,666
1499068803,669
1499069402,663
1499070002,704
1499070604,638
1499071202,633
1499071803,650
1499072403,670
1499073002,718
1499073602,711
1499074203,739
1499074802,696
1499075402,685
1499076003,704
1499076603,702
1499077203,696
1499077803,700
1499078403,697
1499079003,718
1499079603,753
1499080202,762
1499080803,737
1499081403,793
1499082002,851
1499082603,846
1499083204,793
1499083802,811
1499084403,756
1499085004,824
1499085603,756
1499086203,726
1499086802,756
1499087402,751
1499088001,748
1499088603,678
1499089203,728
1499089803,772
1499090402,765
1499091001,732
1499091603,738
1499092203,735
1499092802,737
1499093402,760
1499094002,805
1499094603,768
1499095202,755
1499095804,787
1499096402,754
1499097003,777
1499097603,793
1499098201,732
1499098802,754
1499099404,793
1499100002,809
1499100602,851
1499101203,786
1499101803,781
1499102402,853
1499103004,863
1499103603,874
1499104202,920
1499104803,835
1499105403,890
1499106002,928
1499106602,897
1499107202,769
1499107802,932
1499108403,841
1499109002,958
1499109602,867
1499110203,980
1499110803,829
1499111403,821
1499112004,877
1499112603,799
1499113203,773
1499113802,853
1499114402,818
1499115002,811
1499115601,847
1499116201,894
1499116802,832
