Timestamp,Duration(s)
1498927803,1393
1498928403,1383
1498929002,1413
1498929602,1341
1498930203,1577
1498930802,1538
1498931402,1612
1498932003,1581
1498932602,1643
1498933202,1515
1498933801,1535
1498934403,1452
1498935002,1382
1498935602,1508
1498936203,1411
1498936802,1384
1498937402,1339
1498938002,1295
1498938603,1147
1498939203,1166
1498939802,1167
1498940402,1154
1498941002,1178
1498941603,1251
1498942203,1194
1498942803,1173
1498943403,1225
1498944002,1195
1498944602,1123
1498945202,1140
1498945803,1063
1498946404,1078
1498947002,1060
1498947603,1130
1498948204,1181
1498948803,1198
1498949402,1209
1498950004,1088
1498950602,1138
1498951203,1149
1498951803,1202
1498952402,1203
1498953002,1278
1498953604,1222
1498954201,1102
1498954802,1098
1498955403,1087
1498956002,1193
1498956602,1153
1498957201,1103
1498957802,1154
1498958402,1159
1498959002,1147
1498959602,1158
1498960202,1238
1498960803,1207
1498961401,1144
1498962002,1132
1498962603,1175
1498963202,1161
1498963802,1129
1498964403,1153
1498965002,1118
1498965602,1131
1498966202,1088
1498966803,1151
1498967403,1119
1498968003,1104
1498968601,1065
1498969202,1079
1498969802,1042
1498970401,1069
1498971003,992
1498971602,986
1498972202,1093
1498972801,1068
1498973403,1023
1498974002,1019
1498974602,1062
1498975203,1072
1498975802,1040
1498976402,983
1498977003,1066
1498977602,1018
1498978202,1029
1498978804,1032
1498979403,1016
1498980002,1021
1498980603,1015
1498981203,1034
1498981803,1058
1498982403,1019
1498983003,1033
1498983602,970
1498984202,987
1498984803,969
1498985402,961
1498986004,1023
1498986603,995
1498987202,942
1498987802,940
1498988402,945
1498989001,949
1498989603,972
1498990202,992
1498990803,981
1498991404,972
1498992002,969
1498992603,967
1498993204,968
1498993802,986
1498994402,944
1498995003,995
1498995603,1005
1498996202,1048
1498996802,1009
1498997403,963
1498998002,1053
1498998603,1015
1498999203,1006
1498999802,1034
1499000404,1070
1499001003,1062
1499001603,1050
1499002204,1039
1499002801,1086
1499003402,1109
1499004003,1029
1499004603,1072
1499005201,1050
1499005803,1131
1499006402,1187
1499007003,1334
1499007603,1207
1499008202,1207
1499008803,1072
1499009403,1098
1499010002,1169
1499010603,1158
1499011203,1142
1499011802,1113
1499012403,1078
1499013002,1062
1499013602,1121
1499014203,1132
1499014803,1213
1499015401,1124
1499016002,1182
1499016603,1102
1499017202,1156
1499017802,1152
1499018404,1134
1499019002,1072
1499019602,1145
1499020203,1317
1499020802,1237
1499021403,1121
1499022002,1129
1499022602,1090
1499023202,1274
1499023803,1342
1499024402,1316
1499025003,1388
1499025604,1403
1499026202,1370
1499026803,1342
1499027403,1355
1499028003,1493
1499028602,1532
1499029203,1518
1499029802,1453
1499030402,1433
1499031002,1406
1499031602,1327
1499032201,1118
1499032802,1198
1499033402,1170
1499034003,1178
1499034603,1117
1499035202,1085
1499035802,1089
1499036403,1151
1499037001,1088
1499037602,1089
1499038204,1110
1499038802,1142
1499039402,1134
1499040003,1068
1499040601,1104
1499041203,1146
1499041803,1113
1499042403,1150
1499043003,1188
1499043603,1102
1499044202,1198
1499044803,1172
1499045403,1100
1499046002,1086
1499046602,1139
1499047202,1152
1499047802,1144
1499048402,1236
1499049003,1268
1499049602,1171
1499050202,1073
1499050804,1062
1499051402,1086
1499052002,1045
1499052602,1073
1499053202,1049
1499053802,1047
1499054404,1055
1499055002,1038
1499055602,1009
1499056203,1019
1499056802,1023
1499057402,998
1499058003,975
1499058602,972
1499059201,1014
1499059801,1052
1499060403,1012
1499061003,1017
1499061603,994
1499062202,1012
1499062802,997
1499063402,983
1499064002,1001
1499064601,994
1499065204,960
1499065802,1018
1499066402,1010
1499067003,992
1499067603,988
1499068202,1006
1499068803,995
1499069402,1013
1499070002,1015
1499070604,985
1499071202,1016
1499071802,1021
1499072404,996
1499073002,1068
1499073602,1006
1499074203,1017
1499074802,1091
1499075402,1082
1499076003,1099
1499076602,1105
1499077203,1117
1499077803,1126
1499078402,1100
1499079003,1109
1499079603,1077
1499080202,1108
1499080803,1143
1499081402,1154
1499082003,1219
1499082602,1118
1499083203,1076
1499083802,1119
1499084403,1162
1499085004,1240
1499085603,1404
1499086203,1310
1499086802,1320
1499087402,1352
1499088001,1298
1499088603,1345
1499089203,1046
1499089803,1149
1499090402,1089
1499091001,1142
1499091603,1159
1499092203,1095
1499092802,1166
1499093402,1236
1499094002,1222
1499094603,1238
