Timestamp,Duration(s)
1498927803,7607
1498928403,7640
1498929002,7631
1498929602,7583
1498930203,7621
1498930803,7618
1498931402,7603
1498932003,7599
1498932602,7717
1498933202,7734
1498933802,7788
1498934403,7939
1498935002,8049
1498935602,7935
1498936203,7992
1498936802,7987
1498937402,7977
1498938002,8021
1498938603,8161
1498939204,8181
1498939802,8158
1498940402,8120
1498941002,8116
1498941603,8075
1498942203,8045
1498942803,7981
1498943402,7945
1498944002,7838
1498944602,7716
1498945203,7668
1498945803,7570
1498946404,7447
1498947002,7425
1498947602,7289
1498948203,7283
1498948803,7276
1498949401,7272
1498950003,7231
1498950602,7226
1498951202,7213
1498951803,7186
1498952402,7187
1498953002,7197
1498953604,7219
1498954202,7230
1498954803,7222
1498955403,7158
1498956002,7128
1498956603,7861
1498957201,8246
1498957802,7303
1498958401,7196
1498959002,7109
1498959602,7111
1498960201,7056
1498960803,7019
1498961401,6989
1498962002,6976
1498962603,6915
1498963202,6870
1498963803,6836
1498964403,6828
1498965002,6805
1498965602,6777
1498966202,6799
1498966802,6795
1498967403,6805
1498968003,6803
1498968602,6792
1498969202,6750
1498969803,6734
1498970402,6734
1498971002,6740
1498971602,6725
1498972202,6721
1498972802,6711
1498973403,6693
1498974001,6669
1498974602,6651
1498975203,6653
1498975802,6707
1498976401,6731
1498977002,6728
1498977602,6710
1498978202,6678
1498978804,6659
1498979403,6656
1498980002,6677
1498980603,6681
1498981202,6657
1498981802,6580
1498982403,6577
1498983003,6503
1498983602,6501
1498984202,6539
1498984802,6503
1498985401,6484
1498986004,6390
1498986603,6385
1498987202,6374
1498987802,6363
1498988402,6346
1498989001,6345
1498989602,6363
1498990202,6359
1498990802,6382
1498991403,6362
1498992003,6394
1498992603,6443
1498993204,6443
1498993802,6453
1498994402,6452
1498995003,6520
1498995602,6490
1498996202,6481
1498996802,6539
1498997402,6616
1498998002,6634
1498998603,6686
1498999203,6706
1498999802,6745
1499000404,6790
1499001002,6921
1499001603,6963
1499002203,7012
1499002801,7020
1499003402,7018
1499004003,7102
1499004603,7147
1499005201,7190
1499005804,7255
1499006402,7270
1499007003,7342
1499007602,7397
1499008202,7371
1499008803,7413
1499009403,7429
1499010002,7493
1499010603,7512
1499011203,7544
1499011802,7636
1499012403,7628
1499013001,7668
1499013602,7653
1499014203,7646
1499014803,7647
1499015402,7637
1499016002,7687
1499016603,7776
1499017202,7772
1499017802,7815
1499018404,7788
1499019002,7874
1499019602,7884
1499020202,7911
1499020802,7886
1499021402,7976
1499022002,8107
1499022602,8104
1499023202,8112
1499023804,7934
1499024401,7942
1499025002,7894
1499025604,7987
1499026202,8071
1499026803,8070
1499027403,7900
1499028003,7864
1499028602,7949
1499029203,7856
1499029802,7870
1499030402,7822
1499031002,7777
1499031602,7718
1499032201,7566
1499032802,7461
1499033402,7423
1499034002,7306
1499034603,7325
1499035201,7321
1499035802,7262
1499036402,7219
1499037002,7174
1499037603,7180
1499038204,7162
1499038803,7208
1499039402,7198
1499040003,7202
1499040601,7144
1499041203,7075
1499041803,7076
1499042403,7115
1499043003,7096
1499043603,7123
1499044201,7352
1499044803,7611
1499045402,7190
1499046003,7232
1499046602,7111
1499047202,7163
1499047801,7065
1499048402,6985
1499049003,6955
1499049602,6905
1499050202,6906
1499050803,6796
1499051402,6774
1499052002,6720
1499052602,6714
1499053201,6678
1499053802,6724
1499054404,6729
1499055002,6727
1499055602,6749
1499056203,6758
1499056802,6783
1499057401,6797
1499058002,6770
1499058602,6725
1499059201,6708
1499059801,6677
1499060402,6687
1499061002,6654
1499061603,6629
1499062202,6613
1499062801,6568
1499063401,6575
1499064002,6543
1499064601,6530
1499065203,6526
1499065802,6541
1499066402,6511
1499067003,6528
1499067602,6606
1499068201,6711
1499068803,6953
1499069401,7110
1499070002,7422
1499070604,7674
1499071201,8072
1499071803,8242
1499072402,8500
1499073002,8527
1499073603,8624
1499074203,8791
1499074802,8824
1499075402,9059
1499076003,9034
1499076603,9167
1499077203,9205
1499077803,9146
1499078402,8881
1499079003,8735
1499079603,8598
1499080202,8345
1499080803,8176
1499081402,8009
1499082003,7824
1499082603,6930
1499083204,6960
1499083802,6951
1499084403,6987
1499085004,7009
1499085603,7062
1499086202,7093
1499086802,7150
1499087402,7218
1499088001,7195
1499088603,7209
1499089202,7277
1499089803,7295
1499090402,7318
1499091001,7306
1499091603,7325
1499092203,7325
1499092802,7377
1499093401,7327
1499094001,7354
1499094603,7402
1499095201,7443
1499095803,7444
1499096401,7463
1499097002,7546
1499097603,7566
1499098201,7531
1499098802,7535
1499099404,7602
1499100002,7590
1499100601,7601
1499101203,7594
1499101803,7561
1499102402,7485
1499103004,7459
1499103603,7732
1499104203,8333
1499104802,8940
1499105402,9585
1499106002,9508
1499106602,9011
1499107202,8305
1499107802,7801
1499108403,8028
1499109002,7889
1499109602,7889
1499110203,7977
1499110803,8178
1499111403,8979
1499112004,9101
1499112603,8946
1499113203,8816
1499113802,8862
1499114402,8763
1499115001,8431
1499115601,7892
1499116201,7587
1499116802,7471
1499117403,7327
1499118003,7234
1499118603,7170
1499119202,7159
1499119801,7112
1499120402,7089
1499121002,7100
1499121602,7100
1499122202,7092
1499122801,7076
1499123402,7037
1499124001,6987
1499124603,6968
1499125202,6949
1499125802,6943
1499126402,6965
1499127003,6945
1499127602,6917
1499128203,6910
1499128803,6893
1499129403,6919
1499130003,6898
1499130603,6924
1499131202,6901
1499131804,6915
1499132402,6885
1499133003,6891
1499133602,6903
1499134202,6877
1499134803,6829
1499135402,6808
1499136003,6768
1499136603,6752
1499137204,6773
1499137802,6763
1499138403,6759
1499139003,6758
1499139603,6742
1499140203,6747
1499140803,6758
1499141403,6740
1499142002,6717
1499142604,6735
1499143202,6773
1499143802,6772
1499144403,6702
