Timestamp,Duration(s)
1498927803,8620
1498928402,8648
1498929001,8711
1498929602,8533
1498930203,8821
1498930802,8814
1498931402,8828
1498932002,8595
1498932602,8645
1498933202,8567
1498933801,8686
1498934403,8886
1498935001,8628
1498935601,8675
1498936202,8862
1498936802,8652
1498937402,8740
1498938001,8743
1498938603,8798
1498939203,8508
1498939802,8504
1498940402,8503
1498941001,8350
1498941603,8370
1498942203,8202
1498942802,8054
1498943402,7862
1498944002,7738
1498944601,7786
1498945203,7680
1498945802,7551
1498946404,7232
1498947002,7066
1498947603,6923
1498948203,6917
1498948803,6938
1498949401,6954
1498950004,6947
1498950602,6968
1498951203,7094
1498951803,7171
1498952402,7189
1498953001,7125
1498953603,7134
1498954201,7053
1498954802,7073
1498955403,6881
1498956001,6897
1498956603,6816
1498957201,6823
1498957802,6912
1498958401,6783
1498959002,6759
1498959601,6981
1498960201,6922
1498960803,6764
1498961401,6708
1498962002,6629
1498962603,6658
1498963202,6645
1498963802,6629
1498964403,6693
1498965001,6655
1498965602,6704
1498966201,6611
1498966803,6667
1498967403,6636
1498968003,6661
1498968601,6661
1498969202,6641
1498969803,6586
1498970401,6564
1498971002,6570
1498971602,6633
1498972201,6564
1498972801,6533
1498973403,6604
1498974001,6681
1498974602,6571
1498975203,6610
1498975801,6654
1498976401,6611
1498977003,6501
1498977602,6470
1498978202,6449
1498978804,6437
1498979403,6451
1498980001,6450
1498980603,6452
1498981202,6408
1498981802,6401
1498982403,6410
1498983003,6463
1498983602,6414
1498984202,6391
1498984803,6363
1498985401,6347
1498986004,6317
1498986603,6296
1498987203,6229
1498987801,6233
1498988402,6187
1498989001,6190
1498989603,6174
1498990202,6225
1498990802,6230
1498991403,6234
1498992002,6332
1498992602,6285
1498993204,6325
1498993801,6327
1498994402,6313
1498995003,6364
1498995602,6398
1498996202,6390
1498996801,6430
1498997402,6441
1498998002,6434
1498998603,6492
1498999203,6562
1498999802,6576
1499000404,6596
1499001002,6632
1499001603,6727
1499002203,6779
1499002801,6877
1499003402,6997
1499004003,7075
1499004603,7115
1499005201,7136
1499005803,7201
1499006402,7263
1499007003,7413
1499007602,7635
1499008201,7817
1499008802,7834
1499009402,7877
1499010002,7870
1499010602,7999
1499011203,8233
1499011802,8146
1499012403,8312
1499013001,8418
1499013601,8566
1499014202,8422
1499014803,8445
1499015402,8332
1499016002,8540
1499016603,8286
1499017202,8331
1499017802,8442
1499018404,8206
1499019002,8176
1499019602,8457
1499020202,8408
1499020802,7990
1499021403,7751
1499022001,7766
1499022601,7968
1499023202,7901
1499023804,7720
1499024401,7775
1499025002,7670
1499025603,7932
1499026203,7533
1499026803,7418
1499027403,7474
1499028002,7372
1499028602,7273
1499029203,7089
1499029802,7037
1499030401,6868
1499031001,6708
1499031602,6743
1499032201,6564
1499032801,6571
1499033402,6593
