Timestamp,Duration(s)
1498927803,3252
1498928403,3208
1498929002,3195
1498929602,3123
1498930203,3085
1498930803,3128
1498931402,3116
1498932003,3209
1498932602,3248
1498933202,3222
1498933802,3153
1498934403,3199
1498935002,3120
1498935602,3195
1498936203,3084
1498936802,3133
1498937402,3126
1498938002,3174
1498938603,3269
1498939204,3140
1498939802,2974
1498940402,2909
1498941002,2909
1498941603,2890
1498942203,2937
1498942803,2743
1498943402,2736
1498944002,2757
1498944602,2777
1498945203,2718
1498945803,2710
1498946404,2745
1498947002,2803
1498947603,2829
1498948204,2714
1498948803,2787
1498949401,2683
1498950004,2678
1498950602,2703
1498951202,2778
1498951803,2762
1498952402,2788
1498953002,2844
1498953603,2830
1498954202,2713
1498954803,2692
1498955403,2653
1498956002,2670
1498956603,2645
1498957202,2632
1498957802,2675
1498958402,2671
1498959002,2675
1498959602,2636
1498960202,2693
1498960803,2680
1498961402,2670
1498962002,2687
1498962603,2642
1498963202,2605
1498963802,2575
1498964403,2600
1498965002,2649
1498965602,2678
1498966202,2677
1498966803,2661
1498967403,2612
1498968003,2627
1498968602,2606
1498969202,2595
1498969803,2563
1498970402,2518
1498971002,2542
1498971602,2500
1498972202,2506
1498972801,2550
1498973403,2525
1498974002,2491
1498974602,2487
1498975203,2523
1498975802,2507
1498976402,2503
1498977003,2533
1498977602,2519
1498978202,2501
1498978804,2545
1498979402,2481
1498980002,2454
1498980604,2465
1498981203,2435
1498981802,2454
1498982403,2426
1498983003,2420
1498983602,2349
1498984202,2341
1498984803,2344
1498985402,2416
1498986004,2401
1498986602,2378
1498987203,2324
1498987802,2343
1498988402,2340
1498989002,2360
1498989603,2349
1498990202,2372
1498990802,2349
1498991403,2363
1498992003,2378
1498992603,2368
1498993204,2399
1498993802,2407
1498994402,2440
1498995003,2436
1498995602,2438
1498996202,2475
1498996802,2486
1498997403,2457
1498998003,2530
1498998603,2551
1498999203,2557
1498999802,2562
1499000404,2576
1499001003,2585
1499001603,2595
1499002203,2629
1499002801,2650
1499003402,2654
1499004003,2689
1499004603,2674
1499005202,2704
1499005804,2850
1499006402,2867
1499007003,2790
1499007603,2802
1499008202,2909
1499008803,2788
1499009403,2813
1499010002,2839
1499010603,2929
1499011203,2941
1499011803,2923
1499012403,2926
1499013002,2975
1499013602,2895
1499014203,2868
1499014803,2997
1499015402,2986
1499016002,3068
1499016603,3041
1499017202,2987
1499017802,3002
1499018404,3094
1499019002,3076
1499019602,3080
1499020203,3073
1499020802,3007
1499021403,3000
1499022002,2949
1499022602,2872
1499023202,2808
1499023804,2831
1499024402,2818
1499025003,2755
1499025604,2792
1499026203,2858
1499026803,2911
1499027404,2965
1499028002,2955
1499028602,2988
1499029203,2975
1499029802,2907
1499030402,3003
1499031003,3051
1499031602,2948
1499032202,3090
1499032802,2934
1499033402,2888
1499034002,2999
1499034603,3094
1499035202,3254
1499035803,3239
1499036403,3281
1499037002,3288
1499037603,3324
1499038204,3394
1499038803,3555
1499039403,3326
1499040003,3147
1499040601,3061
1499041203,2983
1499041804,3033
1499042402,2976
1499043003,2973
1499043603,2943
1499044202,2820
1499044803,2802
1499045403,2724
1499046003,2719
1499046602,2681
1499047202,2646
1499047802,2609
1499048402,2621
1499049003,2589
1499049602,2597
1499050202,2554
1499050803,2531
1499051402,2661
1499052002,2673
1499052602,2618
1499053202,2675
1499053802,2597
1499054404,2500
1499055003,2472
1499055602,2523
1499056203,2510
1499056802,2509
1499057402,2473
1499058003,2451
1499058602,2435
1499059202,2437
1499059801,2418
1499060403,2411
1499061002,2414
1499061603,2394
1499062202,2399
1499062802,2461
1499063401,2450
1499064002,2462
1499064601,2454
1499065204,2404
1499065802,2424
1499066402,2399
1499067003,2371
1499067603,2391
1499068201,2423
1499068803,2388
1499069402,2418
1499070002,2427
1499070603,2445
1499071202,2454
1499071803,2499
1499072404,2482
1499073002,2635
1499073603,2579
1499074203,2531
1499074802,2538
1499075402,2618
1499076003,2713
1499076602,2691
1499077203,2778
1499077803,2786
1499078402,2778
1499079003,2891
1499079602,2970
1499080202,2910
1499080803,2935
1499081402,2865
1499082003,2814
1499082602,2701
1499083204,2693
1499083802,2714
1499084403,2715
1499085004,2639
1499085603,2640
1499086203,2631
1499086802,2623
1499087402,2640
1499088002,2628
1499088603,2662
1499089203,2606
1499089803,2595
1499090402,2615
1499091002,2693
1499091603,2864
1499092202,2856
1499092802,2902
1499093401,2921
1499094002,2947
1499094603,2887
1499095202,2907
1499095803,2923
1499096402,2810
1499097003,2958
1499097603,2991
1499098202,2857
1499098802,2906
1499099404,2921
1499100002,2907
1499100602,2958
1499101203,2991
1499101803,3060
1499102402,3085
1499103004,2919
1499103603,3006
1499104203,3228
1499104803,3176
1499105403,3270
1499106002,3252
1499106602,3218
1499107202,3357
