Timestamp,Duration(s)
1498927803,2944
1498928403,2792
1498929002,2717
1498929602,2756
1498930203,2980
1498930802,2973
1498931402,2947
1498932003,3018
1498932602,2998
1498933202,2822
1498933802,2883
1498934403,2964
1498935002,2939
1498935603,3094
1498936203,3299
1498936802,3694
1498937402,3564
1498938002,3583
1498938603,3597
1498939204,3619
1498939802,3525
1498940402,3426
1498941002,3359
1498941602,3220
1498942203,3213
1498942803,3190
1498943402,3234
1498944002,3157
1498944602,2985
1498945203,2992
1498945802,3020
1498946404,2955
1498947002,2956
1498947603,2914
1498948204,3005
1498948803,3000
1498949402,3010
1498950004,2968
1498950602,2915
1498951202,3115
1498951803,3024
1498952402,3020
1498953002,3068
1498953604,2950
1498954202,2951
1498954802,3009
1498955403,2797
1498956002,2965
1498956602,2919
1498957201,2828
1498957802,2934
1498958402,2856
1498959002,2852
1498959602,3078
1498960202,2908
1498960803,2845
1498961401,2835
1498962002,2743
1498962603,2780
1498963202,2714
1498963803,2677
1498964403,2739
1498965002,2636
1498965602,2655
1498966202,2610
1498966803,2562
1498967403,2662
1498968003,2558
1498968602,2632
1498969202,2473
1498969802,2458
1498970401,2584
1498971003,2426
1498971602,2476
1498972202,2372
1498972801,2336
1498973403,2366
1498974002,2387
1498974602,2297
1498975203,2336
1498975802,2317
1498976402,2315
1498977003,2245
1498977602,2249
1498978202,2248
1498978804,2240
1498979402,2282
1498980002,2261
1498980604,2282
1498981202,2209
1498981803,2247
1498982403,2252
1498983003,2267
1498983602,2248
1498984202,2233
1498984803,2257
1498985402,2277
1498986004,2249
1498986602,2244
1498987203,2216
1498987802,2269
1498988402,2186
1498989001,2195
1498989602,2177
1498990202,2218
1498990803,2222
1498991404,2213
1498992003,2273
1498992603,2204
1498993203,2249
1498993802,2217
1498994402,2274
1498995003,2241
1498995603,2275
1498996202,2264
1498996802,2305
1498997403,2259
1498998002,2271
1498998603,2363
1498999203,2405
1498999802,2407
1499000404,2389
1499001002,2412
1499001603,2437
1499002204,2430
1499002801,2464
1499003402,2493
1499004003,2506
1499004603,2542
1499005201,2581
1499005804,2658
1499006402,2659
1499007003,2608
1499007603,2664
1499008202,2655
1499008803,2709
1499009403,2698
1499010002,2735
1499010602,2816
1499011203,3003
1499011802,3088
1499012403,3137
1499013002,3319
1499013602,3251
1499014203,3322
1499014803,3228
1499015402,3370
1499016003,3273
1499016603,3527
1499017202,3502
1499017802,3383
1499018404,3446
1499019002,3353
1499019602,3472
1499020203,3382
1499020802,3376
1499021403,3268
1499022002,3151
1499022602,3191
1499023202,3278
1499023804,3150
1499024402,3192
1499025003,3157
1499025604,3278
1499026203,3154
1499026803,3039
1499027403,2987
1499028003,3114
1499028603,2972
1499029203,3107
1499029802,2966
1499030402,2943
1499031003,2890
1499031602,2991
1499032202,2875
1499032801,2914
1499033402,2880
1499034002,2851
1499034603,2842
1499035202,2931
1499035803,2856
1499036403,2903
1499037002,2935
1499037602,2955
1499038204,2894
1499038802,2814
1499039402,2828
1499040003,2794
1499040601,2861
1499041203,2722
1499041803,2856
1499042403,2673
1499043003,2661
1499043602,2831
1499044202,2785
1499044803,2843
1499045402,2819
1499046002,2815
1499046602,2751
1499047202,2728
1499047802,2714
1499048402,2694
1499049003,2758
1499049602,2713
1499050202,2708
1499050804,2666
1499051402,2675
1499052002,2675
1499052602,2679
1499053201,2448
1499053802,2418
1499054404,2406
1499055002,2400
1499055602,2338
1499056203,2303
1499056802,2320
1499057402,2313
1499058003,2295
1499058602,2286
1499059201,2301
1499059801,2263
1499060403,2292
1499061003,2270
1499061603,2307
1499062202,2250
1499062802,2243
1499063402,2290
1499064002,2286
1499064601,2273
1499065204,2322
1499065802,2294
1499066402,2308
1499067002,2288
1499067603,2300
1499068202,2303
1499068803,2330
1499069401,2282
1499070002,2303
1499070603,2274
1499071202,2258
1499071802,2317
1499072404,2263
1499073002,2277
1499073603,2333
1499074203,2373
1499074802,2386
1499075402,2412
1499076003,2409
1499076603,2575
1499077203,2728
1499077803,2629
1499078402,2577
1499079003,2557
1499079603,2498
1499080202,2555
