Timestamp,Duration(s)
1498920001,9472
1498920602,9498
1498921202,9646
1498921801,9698
1498922401,9679
1498923001,9900
1498923601,9739
1498924201,9969
1498924801,9918
1498925402,9830
1498926001,9888
1498926601,9933
1498927202,9864
1498927803,10052
1498928403,10112
1498929002,10162
1498929602,10020
1498930203,10333
1498930803,10115
1498931402,10364
1498932003,10043
1498932602,10151
1498933202,10073
1498933801,10148
1498934403,10350
1498935002,10045
1498935602,10121
1498936203,10093
1498936802,10150
1498937402,10178
1498938002,10189
1498938603,10233
1498939204,9922
1498939802,9891
1498940402,10058
1498941002,9744
1498941603,9783
1498942203,9592
1498942804,9450
1498943402,9275
1498944002,9290
1498944602,9196
1498945203,9094
1498945802,8989
1498946404,8677
1498947002,8525
1498947603,8407
1498948204,8418
1498948803,8423
1498949402,8430
1498950004,8389
1498950602,8457
1498951203,8583
1498951803,8660
1498952402,8685
1498953002,8663
1498953604,8619
1498954202,8530
1498954802,8536
1498955403,8365
1498956002,8378
1498956602,8320
1498957201,8320
1498957802,8404
1498958402,8296
1498959002,8250
1498959602,8326
1498960202,8262
1498960803,8223
1498961402,8182
1498962002,8119
1498962603,8163
1498963202,8138
1498963803,8075
1498964403,8098
1498965002,8021
1498965602,8081
1498966202,8003
1498966803,8028
1498967403,8043
1498968003,8066
1498968602,8060
1498969202,8046
1498969803,8004
1498970402,8017
1498971003,7967
1498971602,7977
1498972202,7890
1498972802,7908
1498973403,7951
1498974002,7979
1498974602,7938
1498975203,7943
1498975802,7969
1498976402,7912
1498977002,7865
1498977602,7885
1498978202,7860
1498978804,7816
1498979403,7802
1498980002,7746
1498980603,7697
1498981203,7675
1498981803,7675
1498982403,7705
1498983003,7716
1498983602,7709
1498984202,7724
1498984803,7743
1498985402,7743
1498986004,7709
1498986602,7696
1498987203,7626
1498987802,7636
1498988402,7647
1498989001,7649
1498989602,7646
1498990202,7688
1498990803,7683
1498991403,7707
1498992003,7787
1498992603,7715
1498993203,7772
1498993802,7785
1498994402,7819
1498995003,7838
1498995603,7850
1498996202,7838
1498996802,7844
1498997403,7856
1498998002,7892
1498998603,7924
1498999203,7979
1498999802,8012
1499000404,8026
1499001003,8062
1499001603,8151
1499002204,8182
1499002801,8227
1499003402,8393
1499004003,8420
1499004603,8524
1499005201,8503
1499005804,8563
1499006402,8605
1499007003,8749
1499007603,8913
1499008202,9097
1499008803,9127
1499009403,9076
1499010002,9092
1499010603,9127
1499011203,9478
1499011803,9386
1499012403,9566
1499013002,9648
1499013602,9798
1499014203,9658
1499014803,9696
1499015402,9567
1499016002,9597
1499016603,9510
1499017202,9600
1499017802,9563
1499018404,9488
1499019002,9469
1499019602,9777
1499020203,9512
1499020802,9309
1499021403,9073
1499022002,9120
1499022602,9268
1499023203,9210
1499023804,9019
1499024402,9101
1499025003,9084
1499025604,9218
1499026202,8941
1499026803,8818
1499027403,8866
1499028003,8737
1499028602,8667
1499029203,8488
1499029802,8423
1499030402,8244
1499031003,8100
1499031602,8105
1499032202,7979
1499032802,7972
1499033402,7993
1499034002,7994
1499034603,8023
1499035202,8065
1499035803,8027
1499036403,8028
1499037002,8121
1499037603,8097
1499038204,8116
1499038803,8141
1499039402,8131
1499040003,8120
1499040601,8148
1499041203,8166
1499041804,8112
1499042403,8117
1499043003,8057
1499043603,8114
1499044202,8103
1499044802,8128
1499045403,8114
1499046002,8159
1499046602,8106
1499047202,8099
1499047802,8060
1499048402,8109
1499049003,8093
1499049602,8051
1499050202,7992
1499050803,7998
1499051402,8014
1499052002,7969
1499052602,8036
1499053202,7957
1499053802,7971
1499054404,7955
1499055002,7933
1499055602,7931
1499056203,7933
1499056802,8002
1499057402,7982
1499058003,7985
1499058602,7978
1499059201,8070
1499059801,8018
1499060403,8018
1499061003,8003
1499061603,7999
1499062202,7994
1499062802,7924
1499063402,7929
1499064002,7954
1499064601,7917
1499065204,7967
1499065802,7932
1499066402,7891
1499067003,7826
1499067603,7839
1499068202,7909
1499068803,8006
1499069402,7988
1499070002,8101
1499070604,8339
1499071202,8422
1499071803,8992
1499072404,9151
1499073002,9386
1499073602,9535
1499074203,9387
1499074802,9287
1499075402,9314
1499076003,9334
1499076603,9326
1499077203,9212
1499077803,9056
